company,unique_domains,domains_sample
"Balbir Singh Bhandal, Amrik Singh Bhandal & Baljit Singh Bhandal",2,bhandaldentalpractice.co.uk; bhandaldentalpractices.co.uk
Barts Health NHS Trust,2,bartshealth.nhs.uk; whippsx.nhs.uk
Bedfordshire Hospitals NHS Foundation Trust,2,bedfordhospital.nhs.uk; ldh.nhs.uk
Betsy Clara and Southdowns Limited,2,betsyclarahouse.com; southdownsnursinghome.co.uk
Birmingham Women's and Children's NHS Foundation Trust,2,bch.org.uk; bwc.nhs.uk
Bolton NHS Foundation Trust,2,boltonft.nhs.uk; boltonhospitals.nhs.uk
Bright Futures Care Limited,2,brightfuturescare.co.uk; cornerstonesuk.com
Brook Medical Partnership Limited,2,branstonsurgery.co.uk; thebrookmedicalcentre.co.uk
Bupa Care Homes (ANS) Limited,2,bupa.co.uk; bupa.com
Bupa Occupational Health Limited,2,bupa.co.uk; bupa.com
CIMA Care (Burton) Limited,2,cimacare.co.uk; cimacareburton.co.uk
Care at Home Group Ltd,2,careathomegroup.co.uk; careathomegroup.com
Carmel Care & Support Limited,2,carmelcare.co.uk; valorumcaregroup.com
Central and North West London NHS Foundation Trust,2,cnwl.nhs.uk; justice.gov.uk
"Change, Grow, Live",2,cgl.org.uk; changegrowlive.org
Chelsea and Westminster Hospital NHS Foundation Trust,2,chelwest.nhs.uk; west-middlesex-hospital.nhs.uk
Cheshire and Wirral Partnership NHS Foundation Trust,2,cwp.nhs.uk; oldhallsurgery.co.uk
Chilvers & McCrea Limited,2,thepracticelincolngreen.co.uk; thepracticestalbans.co.uk
Church Lane Surgery,2,church-lane-surgery.co.uk; thechurchlanesurgery.co.uk
Coast Care Homes Ltd,2,coastcarehomes.co.uk; coastcommunitycare.co.uk
Comfort Call Limited,2,candchealthcare.co.uk; comfortcall.co.uk
Community Health and Eyecare Limited,2,communityeyecare.org.uk; communityhealthservices.co.uk
Connifers Care Limited,2,conniferscare.co.uk; pavilionleisurecentre.com
Consensus Support Services Limited,2,consensussupport.com; grettonhomes.co.uk
Countess of Chester Hospital NHS Foundation Trust,2,coch.nhs.uk; coch.org
Croftwood Care UK Limited,2,minstercaregroup.co.uk; minstercaregroup.org.uk
Cumbria Health Limited,2,centrallakesmedicalgroup.co.uk; upperedenmedicalpractice.co.uk
Deepdene Care Limited,2,deepdenecare.com; deepdenecare.org
Dentalcare Limited,2,dentalcare.ltd.uk; dentalcarepangbourne.co.uk
Diaverum UK Limited,2,diaverum.com; diverum.com
Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust,2,dbh.nhs.uk; dbth.nhs.uk
Dr Harpreet Singh Kalra,2,browneyhousesurgery.com; parkhousesurgery.co.uk
Dr Kiranmayi Penumka,2,edgbastonwellness.co.uk; quarrybankmedicalcentre.co.uk
Dr. Baber Nisar,2,carnabystreetdentist.co.uk; centrepointdental.co.uk
Dr. Robert De Villiers,2,grovefielddentalsurgery.co.uk; treetopsdental.com
Dr. Zubair Sacranie,2,solihulldentalcentre.co.uk; waterortondentalcentre.co.uk
Dulwich Medical Centre,2,chadwickroad.nhs.uk; dmccrystalpalaceroad.co.uk
East Croydon Medical Centre,2,eastcroydonmc.co.uk; edridgeroadchc.co.uk
East Suffolk and North Essex NHS Foundation Trust,2,colchesterhospital.nhs.uk; esneft.nhs.uk
Education and Services for People with Autism Limited,2,epsa.org.uk; espa.org.uk
Eleanor Nursing and Social Care Limited,2,eleanorcare.co.uk; eleanorhealthcaregroup.co.uk
English Care Limited,2,bowbrookhouse.co.uk; englishcare.co.uk
Envisage Dental UK Limited,2,smilemakers.co.uk; theparks.co.uk
Esteem Care Ltd,2,banksfieldnursing.co.uk; brandonhouse.co.uk
Europe Care Holdings Limited,2,abrahamhousepreston.co.uk; berwickcare.com
Finbrook Limited,2,berrycroftcare.co.uk; berrycroftmanor.co.uk
First City Nursing Services Limited,2,charmes-care.co.uk; firstcitynursing.co.uk
FitzRoy Support,2,efitzroy.org.uk; fitzroy.org
Franklin Care Group Limited,2,fieldhousecarehome.co.uk; franklincaregroup.co.uk
Gloucestershire Hospitals NHS Foundation Trust,2,gloshospitals.nhs.uk; gloshospitals.org.uk
GrayAreas Limited,2,kingsmount.co.uk; mountolivet.co.uk
Green Valleys Health,2,emersonsgreenmedicalcentre.co.uk; leapvalleysurgery.co.uk
